"id","instrument_id","open","close","low","high","volume","open_interest","datetime","net_diff","obi_max","obi_min","amom_sum","wall_ask","wall_bid"
"4341","ru2609","17795","17790","17785","17795","837","206405","2026-05-11 22:36:00","-168","0.1684","-0.1826","3","[]","[]"
"4342","ru2609","17790","17800","17790","17800","405","206460","2026-05-11 22:37:00","57","0.1449","-0.1369","28","[]","[]"
"4343","ru2609","17795","17805","17795","17805","208","206486","2026-05-11 22:38:00","69","0.0415","-0.0859","47","[]","[]"
"4344","ru2609","17805","17800","17800","17805","204","206452","2026-05-11 22:39:00","0","0.0719","-0.1037","0","[]","[]"
"4345","ru2609","17805","17815","17800","17815","434","206315","2026-05-11 22:40:00","129","0.02","-0.1191","25","[]","[]"
"4346","ru2609","17815","17810","17805","17815","577","206145","2026-05-11 22:41:00","48","0","-0.1518","-7","[]","[]"
"4347","ru2609","17810","17805","17805","17810","339","206158","2026-05-11 22:42:00","-31","0.0081","-0.1672","0","[]","[]"
"4348","ru2609","17805","17815","17805","17815","223","206101","2026-05-11 22:43:00","61","0","-0.0957","0","[]","[]"
"4349","ru2609","17810","17810","17810","17815","39","206096","2026-05-11 22:44:00","0","0","-0.1095","0","[]","[]"
"4350","ru2609","17810","17815","17810","17815","134","206044","2026-05-11 22:45:00","0","0","-0.1115","0","[]","[]"
"4351","ru2609","17815","17820","17810","17820","995","205866","2026-05-11 22:46:00","243","0.1433","-0.1107","39","[]","[]"
"4352","ru2609","17820","17825","17815","17825","968","205847","2026-05-11 22:47:00","-91","0.1499","-0.0993","64","[]","[]"
"4353","ru2609","17825","17810","17810","17825","498","205857","2026-05-11 22:48:00","-100","0.0757","-0.1659","-39","[]","[]"
"4354","ru2609","17810","17815","17805","17815","429","205766","2026-05-11 22:49:00","7","0","-0.2166","-31","[]","[]"
"4355","ru2609","17810","17805","17805","17810","301","205781","2026-05-11 22:50:00","-51","0.0448","-0.2422","0","[]","[]"
"4356","ru2609","17805","17805","17805","17810","131","205762","2026-05-11 22:51:00","0","0","-0.2253","0","[]","[]"
"4357","ru2609","17805","17815","17805","17815","244","205708","2026-05-11 22:52:00","0","0","-0.1523","0","[]","[]"
"4358","ru2609","17815","17810","17810","17815","121","205675","2026-05-11 22:53:00","0","0","-0.159","0","[]","[]"
"4359","ru2609","17810","17815","17810","17815","114","205677","2026-05-11 22:54:00","0","0","-0.1388","0","[]","[]"
"4360","ru2609","17815","17825","17815","17825","586","205619","2026-05-11 22:55:00","104","0","-0.1665","12","[]","[]"
"4361","ru2609","17820","17815","17810","17825","323","205564","2026-05-11 22:56:00","-72","0","-0.2017","0","[]","[]"
"4362","ru2609","17815","17810","17805","17815","355","205445","2026-05-11 22:57:00","-59","0","-0.2705","0","[]","[]"
"4363","ru2609","17805","17815","17805","17820","466","205418","2026-05-11 22:58:00","216","0","-0.2075","38","[]","[]"
